"title","totalScore","reviewsCount","reviewsDistribution","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title","reviewsTags/1/count","reviewsTags/1/title","reviewsTags/2/count","reviewsTags/2/title","reviewsTags/3/count","reviewsTags/3/title","reviewsTags/4/count","reviewsTags/4/title","reviewsTags/5/count","reviewsTags/5/title","reviewsTags/6/count","reviewsTags/6/title","reviewsTags/7/count","reviewsTags/7/title","reviewsTags/8/count","reviewsTags/8/title","reviewsTags/9/count","reviewsTags/9/title"
"Levi's Exclusive Store","1","3",,"0","0","3","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","5",,"3","0","1","0","1","2","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.8","5",,"4","1","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.2","38",,"15","4","12","4","3","2","sell","2","lie",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","24",,"10","6","5","2","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","33",,"17","8","5","2","1","2","satisfaction",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","2",,"2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","49",,"26","11","9","2","1","7","experience","2","sales","2","behavior",,,,,,,,,,,,,,
"Levi's Exclusive Store","5","5",,"5","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.6","37",,"15","7","6","8","1","2","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","82",,"48","14","7","8","5","3","sales",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","54",,"21","16","2","14","1","3","brand",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.8","11",,"7","0","2","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","3",,"3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","26",,"21","1","4","0","0","3","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","118",,"67","24","21","6","0","13","experience","9","service","5","manager","4","jeans","4","behaviour","3","mall","3","brand","2","outlet","2","discounted","2","salesperson"
"Levi's Exclusive Store","4","81",,"35","29","6","9","2",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.9","909",,"865","39","3","1","1","44","experience","29","good service","27","sales","10","hospitality","9","patient","6","showroom","6","happy","5","manager","5","patience","5","jeans"
"Levi's Exclusive Store","3.9","49",,"25","8","7","9","0","2","customer service","2","price",,,,,,,,,,,,,,,,
"Levi's Exclusive Store-Pune","4","522",,"238","149","47","69","19","28","jeans","23","experience","12","service","12","sales","7","discount","5","brand","4","manager","3","delivery","3","felt","2","showroom"
"Levi's Exclusive Store","4.4","178",,"124","27","8","16","3","5","experience","4","service","3","jeans","2","behaviour","2","showroom","2","sales",,,,,,,,
"Levi's Exclusive Store","4.2","25",,"16","5","3","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store - Bidar","4.8","76",,"70","4","2","0","0","5","experience","4","customer service","2","good service","2","behaviour",,,,,,,,,,,,
"Levi's Store","4","6",,"3","1","0","1","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","31",,"30","1","0","0","0","5","experience","2","patient","2","knowledge","2","denim","2","selection",,,,,,,,,,
"Levi's Exclusive Store","3.8","161",,"70","40","22","23","6","5","jeans","3","customer service","2","heart","2","brand","2","prices",,,,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.5","90",,"67","11","4","7","1","6","service","3","experience","3","job","3","jeans","2","behaviour","2","happy",,,,,,,,
"Levi's Store","3.9","9",,"5","0","1","3","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","35",,"20","8","2","4","1","3","denim","2","cooperative","2","service",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","25",,"13","9","2","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.2","114",,"57","40","9","7","1","6","jeans","3","brand","2","fraud","2","sale",,,,,,,,,,,,
"Levi's Exclusive Store","3.6","9",,"2","5","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.7","14",,"12","1","0","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.7","10",,"6","1","3","0","0","2","customer service",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.7","130",,"111","12","2","2","3","10","service","5","experience","3","salesman","2","behaviour","2","cooperative",,,,,,,,,,
"Levi's Exclusive Store","4.8","475",,"416","40","5","13","1","29","good service","25","experience","16","customer service","9","sales","5","jeans","5","polite","4","patient","4","cooperative","3","showroom","3","patience"
"Levi's Exclusive Store - SBE-Annanagar, Chennai","4.7","1480",,"1237","162","31","42","8","51","jeans","40","patient","38","polite","35","showroom","20","patience","18","good service","9","prasanth","8","collection","8","bala","6","jasmine"
"Levi's Exclusive Store","4.9","538",,"493","33","7","4","1","41","customer service","24","good service","24","experience","19","sales","10","shiva","8","team","5","jeans","4","happy","3","showroom","2","511"
"Levi's Exclusive Store","4.7","62",,"54","4","3","0","1","16","experience","6","customer service","6","choosing","5","jeans","4","m5 ecity mall","3","patient","3","sales",,,,,,
"Levi's Exclusive Store","5","33",,"32","1","0","0","0","4","customer service","4","experience","2","outlet","2","team",,,,,,,,,,,,
"Levi's Exclusive Store","4.1","40",,"20","10","2","7","1","4","experience","2","customer service",,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","438",,"220","115","40","49","14","24","jeans","13","experience","13","brand","10","discount","10","sale","9","price","8","casual","6","showroom","5","service","3","rude"
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","3",,"3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.8","716",,"602","78","9","25","2","198","service","29","sales","16","jeans","13","polite","12","showroom","10","happy","8","suggestion","8","patient","6","suriya","5","humble"
"Levi's Exclusive Store","4.9","402",,"366","26","6","2","2","45","customer service","31","experience","8","choosing","6","sales","5","hospitality","4","mall","4","jeans","4","employee","3","happy","2","collections"
"Levi's store","4.8","788",,"700","57","14","11","6","101","experience","61","service","37","jeans","35","selection","31","vr mall","31","patient","25","sales","10","showroom","7","abhinaya","5","VR"
"Levi's Exclusive Store","4.2","168",,"79","57","8","19","5","13","customer service","8","jeans","6","experience","5","showroom","3","outlet","3","parking","3","selection","3","price","2","behaviour",,
"Levi's Exclusive Store","4.9","270",,"246","16","3","5","0","14","experience","11","customer service","7","jeans","4","selection","4","sales","3","discount","2","employees","2","cooperation","2","color",,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store | Pottammal","4.4","123",,"87","20","12","3","1","12","customer service","12","experience","6","showroom","5","jeans","4","selection","3","patient","3","atmosphere","3","team","2","color","2","brand"
"Levi's Exclusive Store","4.8","15",,"12","3","0","0","0","3","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","137",,"135","1","1","0","0","30","customer service","13","nivetha","11","experience","3","jeans","3","colour","2","hospitality","2","sales","2","showroom","2","patient",,
"Levi's Exclusive Store","4.8","262",,"233","22","4","3","0","37","customer service","36","experience","14","choice","12","jeans","6","sales","5","showroom","3","suggestion","3","outlet","3","patient","2","fittings"
"Levis","4.9","1219",,"1078","124","8","6","3","147","customer service","82","experience","19","team","14","good service","13","hospitality","7","polite","7","need","7","happy","6","showroom","6","suggestion"
"Levi's Exclusive Store","4.9","851",,"792","48","7","4","0","88","service","76","experience","29","sales","26","choices","12","ms rajeswari","12","patient","12","polite","12","jeans","10","prozone mall","6","showroom"
"Levi's Exclusive Store","4.8","1291",,"1142","109","12","25","3","146","customer service","35","jeans","28","soundarya","25","showroom","22","vinoth","21","patient","18","good service","15","happy","8","ravi shankar","5","manikandan"
"Levi's Exclusive Store","4","142",,"65","43","14","15","5","9","customer service","6","experience","5","showroom","4","brand","2","accessories","2","jeans",,,,,,,,
"Levi's Exclusive Store","5","929",,"907","15","1","6","0","66","experience","41","good service","11","collection","5","brand","5","jeans","5","sales","4","suggestion","3","pasha","3","frndly","3","varieties"
"Levi's Exclusive Store","4.8","288",,"259","19","5","2","3","29","experience","23","customer service","9","pants","9","sales","8","team","6","vasanth","6","selection","5","showroom","4","patient","2","to alter"
"Levi's Exclusive Store","4.8","64",,"57","4","3","0","0","8","experience","4","manager","3","knowledge","3","jeans","3","sales","3","service","2","staff","2","behaviour","2","company",,
"Levi’s outlet","5","2",,"2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store Brigade 2","4.8","230",,"208","9","10","2","1","36","experience","23","customer service","15","jeans","15","sales","13","choices","7","patient","7","team","7","knowledge","6","munna","3","priscilla"
"Levi's Store","3.9","79",,"36","22","10","10","1","5","mall","5","jeans","4","sale","3","brand","2","service","2","experience",,,,,,,,
"Hyderabadle Levi's Store location","4.7","409",,"349","30","10","16","4","27","experience","18","customer service","10","jeans","9","good service","8","sales","6","polite","6","brand","5","patience","3","namitha","3","altered"
"Levi's Factory Outlet","4","183",,"84","56","19","19","5","14","discounts","7","price","6","jeans","6","brand","5","sales","3","BEHAVIOR","3","polite","3","service","2","tailor","2","info"
"Levi's Habitat","4.8","421",,"368","28","10","12","3","57","experience","43","service","22","sales","9","jeans","6","behaviour","6","options","6","polite","5","patient","5","team","5","price"
"Levi's Exclusive Store","4.9","1110",,"1047","43","4","10","6","52","good service","25","experience","24","team","22","jeans","14","ad","9","collection","8","manager","8","patience","6","sales","5","happy"
"Levi's Exclusive Store","5","35",,"35","0","0","0","0","8","experience","3","suggestion","2","denim","2","outlet","2","customer service","2","the consultant",,,,,,,,
"Levi's Exclusive Store","4.7","332",,"260","49","7","12","4","33","service","20","experience","12","behaviour","9","rohit sharma","7","sales","5","showroom","5","cooperative","3","polite","3","knowledge","2","outlet"
"Levi's Exclusive Store","4.8","624",,"568","37","12","6","1","107","service","35","experience","34","pooja","19","sales","12","jeans","12","selection","7","polite","6","patient","6","mujahid","5","happy"
"Levi's Exclusive Store","4.7","685",,"580","65","10","22","8","128","service","30","sales","16","rama devi","11","patience","10","jeans","8","showroom","8","knowledge","7","vijay","5","explanation","5","polite"
"Levi's Exclusive Store","4.8","507",,"450","31","10","11","5","29","experience","26","customer service","16","sales","14","jeans","11","good service","9","collection","6","showroom","6","patient","5","happy","5","behaviour"
"Levi's Exclusive Store","4.9","799",,"737","41","12","6","3","36","good service","36","sales","29","ganesh","27","jeans","22","arbaaz","16","patient","15","patience","12","happy","7","collection","6","mohammad azharuddin"
"Levi's Exclusive Store","4.9","1204",,"1108","71","13","10","2","98","experience","90","service","29","sales","22","choice","11","jeans","8","knowledge","8","vijay","8","cooperative","7","polite","7","behaviour"
"Levi's Exclusive Store","4.8","185",,"159","17","2","5","2","17","service","5","experience","4","showroom","4","outlet","2","cooperative","2","team","2","sales",,,,,,
"Levi's Exclusive Store","4.3","181",,"100","59","7","9","6","15","customer service","8","experience","5","jeans","3","brand","2","mall",,,,,,,,,,
"Levi's Exclusive Store","4.8","1020",,"905","84","13","16","2","71","service","68","experience","19","staff","13","vijay","12","collection","9","choose","7","team","6","knowledge","5","hospitality","5","cooperative"
"Levi's Exclusive Store","3.9","31",,"17","5","6","3","0","5","jeans","2","discount","2","sale",,,,,,,,,,,,,,
"Levi's Exclusive Store","3.9","33",,"19","6","7","0","1",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.3","540",,"314","139","30","46","11","24","jeans","20","experience","17","service","17","sales","10","discount","9","showroom","7","outlet","7","brand","6","price","5","floor"
"Levi's Exclusive Store","4.6","109",,"90","8","7","3","1","14","experience","13","sales","11","customer service","6","choices","3","outlet","3","behavior","2","patient","2","parking","2","jeans",,
"Levi's Exclusive Store","4.8","579",,"480","81","4","11","3","85","customer service","48","experience","11","selection","9","good service","8","showroom","8","priyanka","8","jeans","7","team","6","polite","5","knowledge"
"Levi's Exclusive Store","3.6","244",,"85","56","37","52","14","15","jeans","10","discount","9","service","7","price","4","rude","4","sales","2","options","2","showroom","2","factory outlet","2","hospitality"
"Levi's Exclusive Store","3.8","111",,"55","24","20","11","1","13","jeans","11","service","4","behaviour","4","brand name","4","choice","3","team","3","cooperative","3","mall","2","manners","2","manager"
"Levi's Exclusive Store","4.3","46",,"31","8","5","2","0","10","customer service","7","experience","6","jeans","3","outlet","2","brands","2","professional",,,,,,,,
"Levi's Exclusive Store","5","2",,"2","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.5","54",,"35","13","1","4","1","3","experience","3","customer service",,,,,,,,,,,,,,,,
"Levi's Exclusive Store - RR Nagar","4.8","1020",,"899","95","12","10","4","121","experience","90","service","41","jeans","36","sales","28","patient","23","showroom","8","ranjitha","7","outlet","5","executive","5","job"
"Levi's Exclusive Store","4.2","295",,"166","73","22","23","11","23","experience","22","jeans","17","service","10","sales","5","patient","5","discount","4","team","3","patience","3","levies","2","akshay kumar"
"Levi's","4.8","917",,"809","86","4","17","1","119","customer service","70","experience","31","sales","18","good service","18","to choose","16","patient","13","jeans","9","showroom","6","polite","5","vineeth"
"Levi’s Exclusive Store I MG Road, Kochi","4.9","217",,"211","3","3","0","0","52","experience","37","customer service","11","sales","9","patient","8","to choose","6","denim","5","showroom","4","cooperative","3","atmosphere","3","outlet"
"Levi's Exclusive Store","3.8","89",,"44","18","18","8","1","10","parking","9","factory outlet","7","discount","6","experience","5","service","4","jeans","4","sales","3","airport","3","brand","2","energy"
"Levi's Exclusive Store","4.3","50",,"33","9","4","2","2","8","service","5","sales","4","factory outlet","2","trail","2","rooms","2","showroom","2","discount","2","design","2","name",,
"Levi's Exclusive Store","4.9","642",,"595","40","1","5","1","27","service","26","experience","7","choice","6","patient","5","denim","5","sales","4","knowledge","4","team","3","cooperative","2","collections"
"Levi's Exclusive Store","4.7","377",,"325","32","10","7","3","57","experience","52","customer service","20","sales","6","denim","6","discount","5","collection","5","showroom","5","happy","5","professional","5","choices"
"PETER ENGLAND","4","25",,"11","8","2","4","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","3.5","25",,"15","1","9","0","0","7","experience","6","jeans","3","manager","3","customer service","3","price","2","inventory",,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.1","202",,"122","37","24","17","2","22","experience","17","customer service","13","jeans","8","sales","7","nagma","7","brand","6","mall","5","store manager","2","pricing","2","ram"
"Levi's Exclusive Store","4","128",,"63","39","15","6","5","10","jeans","5","brand","5","sales","5","customer service","4","selection","3","mall","3","prices","2","experience","2","name",,
"Levi's Exclusive Store","3","10",,"4","1","4","0","1","2","jeans","2","customer service","2","experience","2","prices",,,,,,,,,,,,
"Levi's","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.6","18",,"14","1","0","2","1","2","experience",,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","1","2",,"0","0","2","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levi’s Exclusive Store I KR Puram","4.8","52",,"47","2","2","0","1","9","experience","7","sales","4","service","3","patient","3","knowledge","2","jeans","2","selection","2","behaviour","2","price",,
"Levi's Store","3.9","22",,"10","6","3","2","1",,,,,,,,,,,,,,,,,,,,
"Levi's","3.5","2",,"0","1","0","1","0",,,,,,,,,,,,,,,,,,,,
"Levi's",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Levis Tailors","3.8","4",,"2","1","1","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","5","1",,"1","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4","53",,"35","4","11","2","1","6","experience","3","park","3","sales","2","vehicle","2","calls","2","behaviour",,,,,,,,
"Levi’s Exclusive Store I Lulu Calicut","4.8","14",,"11","3","0","0","0","3","experience","3","lulu mall calicut","2","customer service",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.9","1345",,"1229","84","10","20","2","54","experience","16","sales","15","good service","9","jeans","9","selection","7","discount","6","collection","6","staff","5","explanation","5","showroom"
"VOI JEANS Bhimavaram","4.6","19",,"16","1","1","1","0","3","customer service",,,,,,,,,,,,,,,,,,
"Levi's Showroom","4.9","725",,"665","44","10","5","1","34","experience","22","team","20","good service","19","jeans","8","behaviour","7","collection","7","hospitality","5","happy","5","cooperative","5","sales"
"Levi's Exclusive Store","5","3",,"3","0","0","0","0",,,,,,,,,,,,,,,,,,,,
"Levi's Exclusive Store","4.9","353",,"321","28","2","2","0","35","service","7","experience","4","collection","3","staff","3","cooperative","2","showroom","2","outlet","2","sasikala","2","people","2","polite"
"Levi's Exclusive Store","3.3","111",,"45","18","34","10","4","13","experience","13","customer service","12","jeans","10","sales","5","manager","5","nexus mall","5","colour","3","tailor","2","common sense","2","outlet"
"Pepe Jeans & Levi's Factory Outlet","4.8","73",,"66","4","2","1","0","7","price","2","money","2","brand",,,,,,,,,,,,,,
"Levi's Exclusive Store","4.9","846",,"808","30","4","4","0","50","customer service","49","experience","25","good service","13","hospitality","8","jeans","7","staff","6","brand","6","prices","6","knowledge","5","sales"
"Levi's Exclusive Store","4.8","611",,"537","40","15","16","3","40","good service","28","srividya","18","experience","11","team","10","patience","8","selections","7","jeans","5","maintenance","3","suggestions","3","combination"
"Levi's Exclusive Store","3.7","6",,"4","0","2","0","0",,,,,,,,,,,,,,,,,,,,
