"title","totalScore","reviewsCount","reviewsDistribution/fiveStar","reviewsDistribution/fourStar","reviewsDistribution/oneStar","reviewsDistribution/threeStar","reviewsDistribution/twoStar","reviewsTags/0/count","reviewsTags/0/title"
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S","5","1","1","0","0","0","0",,
"levi's",,,,,,,,,
"LEVI' S",,,,,,,,,
"LeVI' S",,,,,,,,,
"Levi's","3","1","0","0","0","1","0",,
"LEVI'S",,,,,,,,,
"Levi's® (國都廣場店)","4.1","10","5","3","1","1","0",,
"Levi's® (屯門市廣場店)","3.4","7","1","4","1","0","1",,
"Levi's (時代廣場店)","2.8","19","4","5","8","1","1",,
"Levi's® (海港城店)","4.3","7","3","3","0","1","0",,
"Levi's (澳門倫敦人店)",,,,,,,,,
"Levi's","3.8","13","5","4","1","1","2","2","jeans"
"Levi' s",,,,,,,,,
"Levi's",,,,,,,,,
"Levis",,,,,,,,,
"Levi‘s",,,,,,,,,
"Levi‘s",,,,,,,,,
"Levi‘s",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"LeVI’S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's Dongguan Guancheng Tianhong Branch",,,,,,,,,
"Levi s",,,,,,,,,
"Levi's Shenzhen Longgang World Trade Branch",,,,,,,,,
"Levi’s",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's专卖",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi’s",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's® (形點 I 店)","3","2","1","0","1","0","0",,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"李维斯",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi＇s",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's® (又一城店)","4.3","3","1","2","0","0","0",,
"Levi’s",,,,,,,,,
"Levi's® (上水廣場店)","4","7","2","4","0","0","1",,
"Levi's® (新都城中心二期店)","3","2","1","0","1","0","0","2","staff"
"Levi's® (千色Citistore店)","2","5","1","0","3","0","1",,
"Levi's® (Mikiki店)","3.8","4","2","1","1","0","0",,
"Levi's® Outlet (東薈城店)","3.3","15","3","5","3","3","1",,
"Levi's® (APM店)","4.3","6","3","2","0","1","0",,
"Levi's® (旺角城市中心店)","2.3","10","1","2","5","1","1","2","branded denim"
"Levi's® (銅鑼灣SOGO店)","5","5","5","0","0","0","0",,
"Levi's (Silvercord)","4.2","9","6","1","1","1","0",,
"Levi's® (朗豪坊店)","2.7","12","3","1","5","2","1",,
"Levi's® (澳門威尼斯人店)","4","1","0","1","0","0","0",,
"Levi's® (MOKO店)","4.7","3","2","1","0","0","0",,
"Levis",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi’s",,,,,,,,,
"LeVI’S","1","1","0","0","1","0","0",,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi’s",,,,,,,,,
"LEVI S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"LevIs",,,,,,,,,
"levis",,,,,,,,,
"LEVIS",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi’S","4.5","2","1","1","0","0","0",,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI' S",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi’s",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi’s",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"李维斯",,,,,,,,,
"LEVIS",,,,,,,,,
"李维斯",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"李维斯",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVIS",,,,,,,,,
"LevI's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi",,,,,,,,,
"levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVI'S",,,,,,,,,
"李维斯","5","1","1","0","0","0","0",,
"Jinu Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Le VI's",,,,,,,,,
"LeVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's Dalian Baisheng Branch",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's Shenyang Tiexi New-Mart Branch",,,,,,,,,
"李维斯",,,,,,,,,
"Levi's",,,,,,,,,
"LeVI'S",,,,,,,,,
"Levi’s",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LeVI’S",,,,,,,,,
"LEVI’S",,,,,,,,,
"李维斯",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI' S",,,,,,,,,
"Levi's",,,,,,,,,
"LEVIS",,,,,,,,,
"Levis",,,,,,,,,
"Levi's",,,,,,,,,
"Levi’s",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi’s",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI’S 运动",,,,,,,,,
"LEVI",,,,,,,,,
"LEVI’S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"levis",,,,,,,,,
"Levis",,,,,,,,,
"LEVI' S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levis",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Jinuo Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"李维斯",,,,,,,,,
"LEVI.S",,,,,,,,,
"Jinuo Levi's",,,,,,,,,
"Levi's Men's Wear",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's Ganghui Ols Branch",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's折扣店",,,,,,,,,
"LEVI' S",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVIS",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI'S",,,,,,,,,
"LEVI’S",,,,,,,,,
"LEVIS",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
"LEVI'S",,,,,,,,,
"Levi’s",,,,,,,,,
"Levi's",,,,,,,,,
"Levi's",,,,,,,,,
