title,address,neighborhood,street,city,postalCode,state,countryCode,website,phone,location/lat,location/lng,plusCode,categoryName,totalScore,reviewsCount
Levi's,"Carr. México - Toluca km 50-Lot 1 - 7, La Merced O el Calvario, 52000 Lerma de Villada, Méx., Mexico","Manzana 002, La Merced O el Calvario",Carr. México - Toluca km 50-Lot 1 - 7,Lerma de Villada,52000,State of Mexico,MX,http://www.levi.com.mx/,+52 728 284 5069,19.2825067,-99.4993578,"7GM2+27 Lerma de Villada, State of Mexico, Mexico",Clothing store,4.1,266
Levis Mexico,"C.P, Torre Norte, Blvd. Miguel de Cervantes Saavedra No. 301-piso 7, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, Mexico",Ampliación Granada,"C.P, Torre Norte, Blvd. Miguel de Cervantes Saavedra No. 301-piso 7","Miguel Hidalgo, Mexico City",11529,Mexico City,MX,http://www.levi.com.mx/,+52 55 5282 8400,19.4403817,-99.2025161,"CQRW+5X Mexico City, Mexico",Clothing store,3.1,20
Levi's,"Perif. Blvd. Manuel Ávila Camacho 5-Local L216, Residencial Lomas de Sotelo, 53390 Ciudad de México, Méx., Mexico","Manzana 004, Residencial Lomas de Sotelo",Perif. Blvd. Manuel Ávila Camacho 5-Local L216,Mexico City,53390,State of Mexico,MX,http://www.levi.com.mx/,+52 55 4161 2117,19.4540432,-99.2184348,"FQ3J+JJ Mexico City, Mexico",Clothing store,4.3,148
Levi's® Antara,"Plaza Antara, Av. Ejército Nacional Mexicano LOCAL 843-B PISO 1, Amp Granada, Miguel Hidalgo, 11529 Ciudad de México, CDMX, Mexico",Ampliación Granada,"Plaza Antara, Av. Ejército Nacional Mexicano LOCAL 843-B PISO 1","Miguel Hidalgo, Mexico City",11529,Mexico City,MX,https://www.levi.com.mx/,+52 55 1713 8366,19.4397061,-99.2022018,"CQQX+V4 Mexico City, Mexico",Clothing store,3.9,7
Levi's® Parque Delta,"Av. Cuauhtémoc 462-local 152, Piedad Narvarte, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",Piedad Narvarte,Av. Cuauhtémoc 462-local 152,"Benito Juarez, Mexico City",3020,Mexico City,MX,https://www.levi.com.mx/,+52 55 9154 9670,19.4030073,-99.1552564,"CR3V+6V Mexico City, Mexico",Clothing store,4.4,278
Levi's,"Calz Acoxpa 550, Coapa, Prados Coapa 2da Secc, Tlalpan, 14350 Ciudad de México, CDMX, Mexico","Coapa, Prados Coapa 2da Sección",Calz Acoxpa 550,"Tlalpan, Mexico City",14350,Mexico City,MX,,+52 55 7100 2494,19.3005383,-99.1374865,"8V27+62 Mexico City, Mexico",Clothing store,4.3,84
Levi's® El Dorado,"Carretera Federal Paso del Todo, Antón Lizardo 4405-Local A16, Centro Comercial, El Dorado, 94290 Boca del Río, Ver., Mexico","Centro Comercial, El Dorado","Carretera Federal Paso del Todo, Antón Lizardo 4405-Local A16",Boca del Río,94290,Veracruz,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.0949116,-96.1045793,"3VVW+X5 Boca del Río, Veracruz, Mexico",Clothing store,5,1
Levi's,"San Francisco, 72686 San Francisco Ocotlán, Pue., Mexico",,San Francisco,San Francisco Ocotlán,72686,Puebla,MX,http://www.levi.com.mx/,,19.1327505,-98.2664083,"4PMM+4C San Francisco Ocotlán, Puebla, Mexico",Clothing store,4.2,69
Outlet Levi's® Punta Norte,"Hacienda de Sierra Vieja 2, Hacienda del Parque, 54769 Cuautitlán Izcalli, Méx., Mexico","Manzana 031, Hacienda del Parque",Hacienda de Sierra Vieja 2,Cuautitlán Izcalli,54769,State of Mexico,MX,http://www.levi.com.mx/,+52 55 2075 0314,19.601719,-99.2002632,"JQ2X+MV Cuautitlán Izcalli, State of Mexico, Mexico",Clothing store,4.1,207
Levi's® Buenavista,"Eje 1 Nte. 259, Buenavista, Cuauhtémoc, 06350 Ciudad de México, CDMX, Mexico",Colonia Buenavista,Eje 1 Nte. 259,"Cuauhtémoc, Mexico City",6350,Mexico City,MX,http://www.levi.com.mx/,+52 55 4750 7050,19.4498139,-99.1516515,"CRXX+W8 Mexico City, Mexico",Clothing store,4.3,438
Levi's,"Bosque de Felipe 2, Bosques del Valle, 55717 San Francisco Coacalco, Méx., Mexico","Manzana 001, Bosques del Valle",Bosque de Felipe 2,Coacalco,55717,State of Mexico,MX,https://www.levi.com.mx/sp/tiendas,,19.6319574,-99.1248661,"JVJG+Q3 Coacalco, State of Mexico, Mexico",Clothing store,4.2,49
Levi's Outlet Universidad,"Av. Universidad 913, Col del Valle Centro, Benito Juárez, 03104 Ciudad de México, CDMX, Mexico",Colonia del Valle Centro,Av. Universidad 913,"Benito Juarez, Mexico City",3104,Mexico City,MX,,+52 55 9688 7286,19.3696381,-99.1657508,"9R9M+VM Mexico City, Mexico",Clothing store,4.3,39
Outlet Levi's® Aeropuerto,"Calz. Ignacio Zaragoza 270-PISO 1 Local 3, Santa Cruz Aviación, Venustiano Carranza, 15540 Ciudad de México, CDMX, Mexico",Santa Cruz Aviación,Calz. Ignacio Zaragoza 270-PISO 1 Local 3,"Venustiano Carranza, Mexico City",15540,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.4211338,-99.0966264,"CWC3+F8 Santa Cruz Aviación, Mexico City, CDMX, Mexico",Youth clothing store,4,21
Levi's,"Av. Carlos Hank González 120-Local - 142,145A and 155B, Rinconada de Aragon, 55149 Ecatepec de Morelos, Méx., Mexico","Manzana 004, Rinconada de Aragon","Av. Carlos Hank González 120-Local - 142,145A and 155B",Ecatepec de Morelos,55149,State of Mexico,MX,http://www.levi.com.mx/,+52 55 5775 7249,19.5311683,-99.0277037,"GXJC+FW Ecatepec de Morelos, Agricultura 4-A, Méx., Mexico",Clothing store,4.3,501
Levi's,"Vasco de Quiroga 3800-Local 247, Lomas de Santa Fe, Contadero, Cuajimalpa de Morelos, 05109 Ciudad de México, CDMX, Mexico","Lomas de Santa Fe, Contadero",Vasco de Quiroga 3800-Local 247,"Cuajimalpa, Mexico City",5109,Mexico City,MX,http://www.levi.com.mx/,+52 55 2167 8405,19.361262,-99.2738998,"9P6G+GC Mexico City, Mexico",Clothing store,4.4,196
Levi's,"José María Izazaga 89-local 2, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX, Mexico",Centro,José María Izazaga 89-local 2,"Cuauhtémoc, Mexico City",6090,Mexico City,MX,http://www.levi.com.mx/,+52 55 5709 3803,19.4257917,-99.1365297,"CVG7+89 Mexico City, Mexico",Clothing store,4.1,1575
Levi's® Centro Histórico,"20 de Noviembre 3, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06060 Ciudad de México, CDMX, Mexico","Historic center of Mexico City, Centro",20 de Noviembre 3,"Cuauhtémoc, Mexico City",6060,Mexico City,MX,https://www.levi.com.mx/,,19.4312228,-99.1338981,"CVJ8+FC Mexico City, Mexico",Youth clothing store,4.7,3
Levi's,"Carr Federal México-Cuautla Km 37-Local 132, 56538 Ixtapaluca, Méx., Mexico",Manzana 003,Carr Federal México-Cuautla Km 37-Local 132,Ixtapaluca,56538,State of Mexico,MX,http://www.levi.com.mx/,+52 55 2596 9629,19.2968577,-98.8850913,"74W7+PX Ixtapaluca, State of Mexico, Mexico",Clothing store,4.2,564
Outlet Levi's® Factory Santa Úrsula,"Av. Insurgentes Sur 4221, Sta Úrsula Xitla, Tlalpan, 14420 Ciudad de México, CDMX, Mexico",Santa Úrsula Xitla,Av. Insurgentes Sur 4221,"Tlalpan, Mexico City",14420,Mexico City,MX,https://www.levi.com.mx/,+52 55 5833 7229,19.2823189,-99.1747095,"7RJG+W4 Santa Úrsula Xitla, Mexico City, CDMX, Mexico",Youth clothing store,4.1,28
Levi's® Galerías Pachuca,"Camino Real de La Plata 100, Zona Plateada, 42084 Pachuca de Soto, Hgo., Mexico",Zona Plateada,Camino Real de La Plata 100,Pachuca,42084,Hidalgo,MX,https://www.levi.com.mx/,+52 55 8438 1818,20.097693,-98.7685221,"36XJ+3H Pachuca, Hidalgo, Mexico",Clothing store,4,57
Outlet Levi's® Explanada Pachuca,"Autopista México - Pachuca 6201 Fracciones De Las Parcelas 52 83 94 Y 95, San Antonio el Desmonte, 42083 Pachuca de Soto, Hgo., Mexico",San Antonio el Desmonte,Autopista México - Pachuca 6201 Fracciones De Las Parcelas 52 83 94 Y 95,Pachuca,42083,Hidalgo,MX,https://www.levi.com.mx/,+52 771 489 2608,20.0377049,-98.7961667,"26Q3+3G Pachuca, Hidalgo, Mexico",Youth clothing store,4.5,12863
Levi's,"Av Francisco I. Madero 72, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico","Historic center of Mexico City, Centro",Av Francisco I. Madero 72,"Cuauhtémoc, Mexico City",6000,Mexico City,MX,http://www.levi.com.mx/,,19.4333205,-99.1347026,"CVM8+84 Mexico City, Mexico",Clothing store,4.5,2228
Levi's,"Carretera Federal Xalapa - Veracruz Km2 N°680, Local B28, 94298 Veracruz, Ver., Mexico",Rubi Animas,"Carretera Federal Xalapa - Veracruz Km2 N°680, Local B28",Veracruz,94298,Veracruz,MX,http://www.levi.com.mx/,+52 228 812 6718,19.5123108,-96.8766941,"G46F+W8 Xalapa, Veracruz, Mexico",Clothing store,5,2
Levi's,"Norte 45 1078-Local 3,4, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX, Mexico",Industrial Vallejo,"Norte 45 1078-Local 3,4","Azcapotzalco, Mexico City",2300,Mexico City,MX,http://www.levi.com.mx/,+52 55 5368 8507,19.5010499,-99.1578493,"GR2R+CV Mexico City, Mexico",Clothing store,3.9,69
Outlet Levi's® Gran Sur,"Periférico Sur #5550, Blvd. Gran Sur A2-106, Pedregal de Carrasco, Coyoacán, 04700 CDMX, Mexico",Pedregal de Carrasco,"Periférico Sur #5550, Blvd. Gran Sur A2-106","Coyoacán, Mexico City",4700,Mexico City,MX,https://www.levi.com.mx/,+52 55 8438 1818,19.3071661,-99.1648152,"8R4P+V3 Pedregal de Carrasco, Mexico City, CDMX, Mexico",Clothing store,3.5,11
"Outlet Store Levi's, Dockers","43640 Tulancingo, Hidalgo, Mexico",,,Tulancingo,,Hidalgo,MX,,,20.0900825,-98.3752887,"3JRF+2V Tulancingo, Hidalgo, Mexico",Clothing store,4,18
Levi's,"PREMIUM QUERETARO PLANTA BAJA LOCAL K-2 CARRETERA 45D SANTA MARIA MAGDALENA, 76137 Santiago de Querétaro, Qro., Mexico",,PREMIUM QUERETARO PLANTA BAJA LOCAL K-2 CARRETERA 45D SANTA MARIA MAGDALENA,Santiago de Querétaro,76137,Querétaro,MX,https://www.levi.com.mx/,+52 55 8438 1818,20.5750197,-100.4625511,"HGGP+2X Santiago de Querétaro, Querétaro, Mexico",Clothing store,4.4,56
Levi’s,"Plaza PerisurBoulevard Adolfo Ruiz Cortinez 4690 Local 228, Ampliación, Jardines del Pedregal, Coyoacán, 04530 Ciudad de México, CDMX, Mexico",Jardines del Pedregal,"Plaza PerisurBoulevard Adolfo Ruiz Cortinez 4690 Local 228, Ampliación","Coyoacán, Mexico City",4530,Mexico City,MX,https://www.levi.com.mx/,+52 55 5486 1804,19.3043652,-99.1889986,"8R36+PC Mexico City, Mexico",Jeans shop,4.3,199
Levi's Artz,"Periferico Sur 3720 Local 208, a, Álvaro Obregón, 01900 Ciudad de México, CDMX, Mexico",Jardines del Pedregal,"Periferico Sur 3720 Local 208, a","Álvaro Obregón, Mexico City",1900,Mexico City,MX,http://www.levi.com.mx/,+52 55 5206 1351,19.3133753,-99.219727,"8Q7J+94 Mexico City, Mexico",Clothing store,4.3,30
Levi's,"Av Sor Juana Inés de La Cruz 280 Col, San Lorenzo, 54033 Tlalnepantla, Méx., Mexico","Manzana 020, San Lorenzo",Av Sor Juana Inés de La Cruz 280 Col,Tlalnepantla de Baz,54033,State of Mexico,MX,http://www.levi.com.mx/,+52 55 4161 2127,19.5383709,-99.2058447,"GQQV+8M Tlalnepantla de Baz, State of Mexico, Mexico",Clothing store,4.2,30
Levi's,"Av Universidad 1770, Int Local Pa-04, Coyoacán, 04310 Ciudad de México, CDMX, Mexico",Oxtopulco,"Av Universidad 1770, Int Local Pa-04","Coyoacán, Mexico City",4310,Mexico City,MX,http://www.levi.com.mx/,+52 55 4161 2110,19.3456966,-99.1788793,"8RWC+7C Mexico City, Mexico",Clothing store,4.2,166
Outlet Levi's® Hermosillo,"Bulevar José María Morelos 240-Local 34, Bugambilia, 83140 Hermosillo, Son., Mexico",Bugambilia,Bulevar José María Morelos 240-Local 34,Hermosillo,83140,Sonora,MX,https://www.levi.com.mx/,+52 55 8438 1818,29.1129843,-110.9520141,"427X+55 Hermosillo, Sonora, Mexico",Clothing store,4.1,17
Levi's,"Calle Alejandra 512, Junta Aux. Santiago Momoxpan Local No RO-36, 72774 Pue., Mexico","Santiago Momoxpan, Alvaro Obregón","Calle Alejandra 512, Junta Aux. Santiago Momoxpan Local No RO-36",San Pedro Cholula,72774,Puebla,MX,http://www.levi.com.mx/,+52 222 290 9985,19.0718328,-98.2776125,"3PCC+PX San Pedro Cholula, Puebla, Mexico",Clothing store,4.5,2
Levi's® Los Cabos,"Boulevard Lázaro Cárdenas y Cabo Bello 1501, El Medano, 23410 Cabo San Lucas, B.C.S., Mexico","El Medano Ejidal, El Medano",Boulevard Lázaro Cárdenas y Cabo Bello 1501,Cabo San Lucas,23410,Baja California Sur,MX,https://www.levi.com.mx/,+52 624 143 8842,22.8877985,-109.9090853,"V3QR+49 Cabo San Lucas, Baja California Sur, Mexico",Clothing store,5,1
Levi’s Mexicali,"Plaza San Pedro, Calz. Cetys, Privada Vista Hermosa, 21225 Mexicali, B.C., Mexico",Privada Vista Hermosa,"Plaza San Pedro, Calz. Cetys",Mexicali,,Baja California,MX,http://levi.com.mx/,,32.6574241,-115.4128616,"MH4P+XV Mexicali, Baja California, Mexico",Clothing store,4.5,2
Outlet Levi's® Riviera Maya,"GO GRAND OUTLET PB60 CARRETERA CANCÚN-PUERTO MORELOS, Supermanzana RIVIERA MAYA, 77565 Cancún, Q.R., Mexico",Supermanzana RIVIERA MAYA,"GO GRAND OUTLET PB60 CARRETERA CANCÚN-PUERTO MORELOS, SM RIVIERA MAYA",Cancún,77565,Quintana Roo,MX,https://www.levi.com.mx/,+52 55 8438 1818,20.985037,-86.8630777,"X4PP+2Q Cancún, Quintana Roo, Mexico",Clothing store,4.4,7
Levi's,"Calle 7 # 451 Loc 90 X 22 Y 24, 97133 Yuc., Mexico",Maya,Calle 7 # 451 Loc 90 X 22 Y 24,Merida,97133,Yucatan,MX,http://www.levi.com.mx/,+52 999 930 6759,21.0167536,-89.5822734,"2C89+P3 Merida, Yucatan, Mexico",Clothing store,4.5,12
Levi's,"Quinta Avenida 2, Centro, 77710 Playa del Carmen, Q.R., Mexico",Centro,Quinta Avenida 2,Playa del Carmen,77710,Quintana Roo,MX,http://www.levi.com.mx/,+52 55 3076 9455,20.6296104,-87.0704638,"JWHH+RR Playa del Carmen, Quintana Roo, Mexico",Clothing store,4.1,38
Levi's,"PB-31 Road Tuxtla, Panamericana 651, El Retiro, 29040 Tuxtla Gutiérrez, Chis., Mexico",El Retiro,"PB-31 Road Tuxtla, Panamericana 651",Tuxtla Gutiérrez,29040,Chiapas,MX,,,16.7468133,-93.0749122,"PWWG+P2 Tuxtla Gutiérrez, Chiapas, Mexico",Clothing store,4.5,11
Levi's,"Av Universidad Veracruzana Km. 8, Fovissste, 96537 Coatzacoalcos, Ver., Mexico",Fovissste,Av Universidad Veracruzana Km. 8,Coatzacoalcos,96537,Veracruz,MX,https://www.levi.com.mx/sp/tiendas,,18.1414898,-94.4880842,"4GR6+HQ Coatzacoalcos, Veracruz, Mexico",Men's clothing store,4.4,34
Levi's® Playa del Carmen,"ESQUINA CON, PLAZA QUINTA ALEGRIA PISO 1 LOCAL C28 CENTRO, AV. CONSTITUYENTES Y CALLE 16 BIS, Quinta Avenida Supermanzana NORTE, NORTE, 77710 Playa del Carmen, Q.R., Mexico","Supermanzana NORTE, NORTE","ESQUINA CON, PLAZA QUINTA ALEGRIA PISO 1 LOCAL C28 CENTRO, AV. CONSTITUYENTES Y CALLE 16 BIS, Quinta Avenida SM NORTE",Playa del Carmen,77710,Quintana Roo,MX,https://www.levi.com.mx/,+52 984 231 5231,20.6300567,-87.0711276,"JWJH+2G Playa del Carmen, Quintana Roo, Mexico",Clothing store,4.5,11
Levi's,"Perif. Carlos Pellicer Cámara 501, Real del Sur, Punta Brava, 86150 Villahermosa, Tab., Mexico","Real del Sur, Punta Brava",Perif. Carlos Pellicer Cámara 501,Villahermosa,86150,Tabasco,MX,,,17.9654355,-92.9402826,"X385+5V Villahermosa, Tabasco, Mexico",Clothing store,4.4,20
Levi's,"Av Rafael Sanzio, Camichines Vallarta, 45030 Zapopan, Jal., Mexico",Camichines Vallarta,Av Rafael Sanzio,Zapopan,45030,Jalisco,MX,http://www.levi.com.mx/,+52 33 3629 8310,20.6771942,-103.4323906,"MHG9+V2 Zapopan, Jalisco, Mexico",Clothing store,4,218
Outlet Levi's® Factory Mazatlán,"Gran Plaza Mazatlán PB Loc. F-38, F39, F40 Y F41, Av. Reforma 2100, Fraccionamiento Alameda, 82123 Mazatlán, Sin., Mexico",Fraccionamiento Alameda,"Gran Plaza Mazatlán PB Loc. F-38, F39, F40 Y F41, Av. Reforma 2100",Mazatlán,82123,Sinaloa,MX,https://www.levi.com.mx/,+52 669 983 7334,23.2405286,-106.4376435,"6HR6+6W Mazatlán, Sinaloa, Mexico",Clothing store,3.7,3
Outlet Levi's® Culiacán,"Unnamed Road, Sin., Mexico",,Unnamed Road,Culiacán,,Sinaloa,MX,http://www.levi.com.mx/,+52 667 113 6763,24.7470934,-107.4483883,"PHW2+RJ Culiacán, Sinaloa, Mexico",Clothing store,4.3,9
Levi's,"Av. Francisco Medina Ascencio # 2920, 48338 Puerto Vallarta, Jal., Mexico",,Av. Francisco Medina Ascencio # 2920,Puerto Vallarta,48338,Jalisco,MX,http://www.levi.com.mx/,+52 322 221 3491,20.6586057,-105.2393496,"MQ56+C7 Puerto Vallarta, Jalisco, Mexico",Clothing store,4.4,43
Levi's,"Blvd. Gral. Marcelino García Barragán 2077-Local Pb29B, Prados del Nilo, 44840 Guadalajara, Jal., Mexico",Prados del Nilo,Blvd. Gral. Marcelino García Barragán 2077-Local Pb29B,Guadalajara,44840,Jalisco,MX,http://www.levi.com.mx/,+52 33 3659 8938,20.6473298,-103.3198479,"JMWJ+W3 Guadalajara, Jalisco, Mexico",Clothing store,4.4,167
Levi's® Punto Sur,"CC PUNTO SUR PLANTA BAJA, LN-12 PB, AV PASEO PUNTO SUR, FRACC. PUNTO SUR LOS GAVILANES, 45645 JALISCO, Jal., Mexico",,"CC PUNTO SUR PLANTA BAJA, LN-12 PB, AV PASEO PUNTO SUR, FRACC. PUNTO SUR LOS GAVILANES",JALISCO,45645,Jalisco,MX,https://www.levi.com.mx/,+52 33 3640 7602,20.5690959,-103.4540304,"HG9W+J9 Los Gavilanes, Jalisco, Mexico",Clothing store,4.7,9
Levi's,"Av. Rafael Sanzio, 45640 Tlajomulco de Zúñiga, Jal., Mexico",,Av. Rafael Sanzio,Tlajomulco de Zúñiga,45640,Jalisco,MX,http://www.levi.com.mx/,+52 33 2256 3000,20.5227713,-103.4830595,"GGF8+4Q Tlajomulco de Zúñiga, Jalisco, Mexico",Clothing store,4.1,191
Levi's,"Av Lázaro Cárdenas 1000-L-116, Zona San Agustín, 66260 San Pedro Garza García, N.L., Mexico",Zona San Agustín,Av Lázaro Cárdenas 1000-L-116,San Pedro Garza García,66260,Nuevo Leon,MX,http://www.levi.com.mx/,+52 81 8486 0160,25.651427,-100.3353208,"MM27+HV San Pedro Garza García, Nuevo Leon, Mexico",Clothing store,4.5,23
Levi's® Gran Plaza,"Av. Vallarta #3959, Don Bosco Vallarta, Local C16, La Gran Plaza, 45049 Zapopan, Jal., Mexico",La Gran Plaza,"Av. Vallarta #3959, Don Bosco Vallarta, Local C16",Zapopan,45049,Jalisco,MX,https://www.levi.com.mx/,+52 33 1029 1518,20.6743996,-103.4049947,"MHFW+Q2 Zapopan, Jalisco, Mexico",Clothing store,4.4,17
Levi's,"007, Blvd. Puerta de Hierro 4965-007, Puerta de Hierro, 45116 Zapopan, Jal., Mexico","Puerta de Hierro, Guadalajara","007, Blvd. Puerta de Hierro 4965-007",Zapopan,45116,Jalisco,MX,,+52 33 3611 2520,20.7107067,-103.4123016,"PH6Q+73 Zapopan, Jalisco, Mexico",Men's clothing store,4.5,214
